time (UTC),latitude (degrees_north),BEUTI (mmol m-1 s-1)
2007-01-15T00:00:00Z,39.0,13.363
2007-01-15T00:00:00Z,40.0,15.355
2007-01-15T00:00:00Z,41.0,5.763
2007-01-15T00:00:00Z,42.0,6.761
2007-01-15T00:00:00Z,43.0,7.845
2007-01-15T00:00:00Z,44.0,-1.003
2007-01-15T00:00:00Z,45.0,1.017
2007-01-15T00:00:00Z,46.0,-1.46
2007-01-15T00:00:00Z,47.0,-4.803
2007-02-15T00:00:00Z,31.0,2.24
2007-02-15T00:00:00Z,32.0,2.146
2007-02-15T00:00:00Z,33.0,1.623
2007-02-15T00:00:00Z,34.0,2.989
2007-02-15T00:00:00Z,35.0,4.212
2007-02-15T00:00:00Z,36.0,9.149
2007-02-15T00:00:00Z,37.0,5.647
2007-02-15T00:00:00Z,38.0,5.496
2007-02-15T00:00:00Z,39.0,14.716
2007-02-15T00:00:00Z,40.0,6.728
2007-02-15T00:00:00Z,41.0,-1.0
2007-02-15T00:00:00Z,42.0,-5.118
2007-02-15T00:00:00Z,43.0,-3.452
2007-02-15T00:00:00Z,44.0,-2.786
2007-02-15T00:00:00Z,45.0,-2.552
2007-02-15T00:00:00Z,46.0,-3.497
2007-02-15T00:00:00Z,47.0,-9.937
2007-03-15T00:00:00Z,31.0,0.888
2007-03-15T00:00:00Z,32.0,1.875
2007-03-15T00:00:00Z,33.0,2.325
2007-03-15T00:00:00Z,34.0,4.795
2007-03-15T00:00:00Z,35.0,7.304
2007-03-15T00:00:00Z,36.0,18.223
2007-03-15T00:00:00Z,37.0,12.33
2007-03-15T00:00:00Z,38.0,14.578
2007-03-15T00:00:00Z,39.0,26.715
2007-03-15T00:00:00Z,40.0,22.986
2007-03-15T00:00:00Z,41.0,10.571
2007-03-15T00:00:00Z,42.0,12.229
2007-03-15T00:00:00Z,43.0,9.448
2007-03-15T00:00:00Z,44.0,0.312
2007-03-15T00:00:00Z,45.0,0.736
2007-03-15T00:00:00Z,46.0,-2.951
2007-03-15T00:00:00Z,47.0,-11.121
2007-04-15T00:00:00Z,31.0,2.011
2007-04-15T00:00:00Z,32.0,2.655
2007-04-15T00:00:00Z,33.0,3.275
2007-04-15T00:00:00Z,34.0,12.497
2007-04-15T00:00:00Z,35.0,19.502
2007-04-15T00:00:00Z,36.0,22.833
2007-04-15T00:00:00Z,37.0,23.681
2007-04-15T00:00:00Z,38.0,8.319
2007-04-15T00:00:00Z,39.0,25.383
2007-04-15T00:00:00Z,40.0,10.471
2007-04-15T00:00:00Z,41.0,5.447
2007-04-15T00:00:00Z,42.0,3.674
2007-04-15T00:00:00Z,43.0,5.214
2007-04-15T00:00:00Z,44.0,-2.862
2007-04-15T00:00:00Z,45.0,0.717
2007-04-15T00:00:00Z,46.0,-1.228
2007-04-15T00:00:00Z,47.0,-2.264
2007-05-15T00:00:00Z,31.0,2.225
2007-05-15T00:00:00Z,32.0,1.529
2007-05-15T00:00:00Z,33.0,1.435
2007-05-15T00:00:00Z,34.0,7.948
2007-05-15T00:00:00Z,35.0,11.136
2007-05-15T00:00:00Z,36.0,16.997
2007-05-15T00:00:00Z,37.0,15.501
2007-05-15T00:00:00Z,38.0,18.45
2007-05-15T00:00:00Z,39.0,34.307
2007-05-15T00:00:00Z,40.0,29.023
2007-05-15T00:00:00Z,41.0,24.371
2007-05-15T00:00:00Z,42.0,23.924
2007-05-15T00:00:00Z,43.0,15.684
2007-05-15T00:00:00Z,44.0,3.869
2007-05-15T00:00:00Z,45.0,7.923
2007-05-15T00:00:00Z,46.0,3.219
2007-05-15T00:00:00Z,47.0,4.299
2007-06-15T00:00:00Z,31.0,1.107
2007-06-15T00:00:00Z,32.0,0.854
2007-06-15T00:00:00Z,33.0,0.457
2007-06-15T00:00:00Z,34.0,5.396
2007-06-15T00:00:00Z,35.0,11.338
2007-06-15T00:00:00Z,36.0,13.629
2007-06-15T00:00:00Z,37.0,17.384
2007-06-15T00:00:00Z,38.0,17.082
2007-06-15T00:00:00Z,39.0,33.5
2007-06-15T00:00:00Z,40.0,22.611
2007-06-15T00:00:00Z,41.0,11.321
2007-06-15T00:00:00Z,42.0,11.476
2007-06-15T00:00:00Z,43.0,5.356
2007-06-15T00:00:00Z,44.0,1.267
2007-06-15T00:00:00Z,45.0,0.472
2007-06-15T00:00:00Z,46.0,0.666
2007-06-15T00:00:00Z,47.0,0.648
2007-07-15T00:00:00Z,31.0,0.521
2007-07-15T00:00:00Z,32.0,0.234
2007-07-15T00:00:00Z,33.0,0.042
2007-07-15T00:00:00Z,34.0,1.12
2007-07-15T00:00:00Z,35.0,4.338
2007-07-15T00:00:00Z,36.0,4.314
2007-07-15T00:00:00Z,37.0,4.095
2007-07-15T00:00:00Z,38.0,3.568
2007-07-15T00:00:00Z,39.0,12.17
